;link
0;http://actusen.com/index.php/2016/09/19/le-tresor-public-depenserait-plus-de-47-milliards-f-cfa-par-an-dans-les-evacuations-nebuleuses-entre-dakar-et-paris-on-nevacue-plus-les-malades/
1;http://actusen.com/index.php/2016/10/17/anelka-repond-a-hollande-il-faut-changer-tout-le-systeme-francais-a-propos-des-enfants-de-la-banlieue/
2;http://del.icio.us/post?url=http://www.sunuker.com/2015/05/26/video-quand-le-parapluie-du-gentleman-obama-embrase-les-reseaux-sociaux/&title=VIDEO – Quand le parapluie du « gentleman » Obama embrase les réseaux sociaux
3;http://digg.com/submit?phase=2&url=http://www.sunuker.com/2015/05/26/video-quand-le-parapluie-du-gentleman-obama-embrase-les-reseaux-sociaux/&title=VIDEO – Quand le parapluie du « gentleman » Obama embrase les réseaux sociaux
4;http://laviesenegalaise.com/indemnisation-sinistres-cices-vers-debut-de-solution
5;http://laviesenegalaise.com/indemnisation-sinistres-cices-vers-debut-de-solution#respond
6;http://laviesenegalaise.com/inondations-saint-louis-eaux-video
7;http://laviesenegalaise.com/inondations-saint-louis-eaux-video#respond
8;http://ledakarois.netbethio-radie-ses-cheikhs-apres-le-ndigueul-du-khalife.html
9;http://sphinn.com/submit.php?url=http://www.sunuker.com/2015/05/26/video-quand-le-parapluie-du-gentleman-obama-embrase-les-reseaux-sociaux/&title=VIDEO – Quand le parapluie du « gentleman » Obama embrase les réseaux sociaux
10;http://technorati.com/faves?add=http://www.sunuker.com/2015/05/26/video-quand-le-parapluie-du-gentleman-obama-embrase-les-reseaux-sociaux/
11;http://www.aps.sn./?debut_articles=45#pagination_articlesactualites/economie/agriculture/article/kolda-l-arret-des-pluies-suscite-l-inquietude-autour-des-derniers-semis
12;http://www.au-senegal.com/?lang=fr+-entretiens-et-portraits,071-+.htmlle-climat-et-la-meteo,046.html
13;http://www.au-senegal.com/?lang=fr-mini-sites-.htmlle-climat-et-la-meteo,046.html
14;http://www.au-senegal.com/?lang=frbooba-en-concert-a-dakar,12936.htmlle-climat-et-la-meteo,046.html
15;http://www.au-senegal.com/?lang=frcoupe-du-monde-de-football-derniere-ligne-droite-pour-les-lions,13232.htmlle-climat-et-la-meteo,046.html
16;http://www.au-senegal.com/?lang=frfestival-afrik-cine-magik-un-evenement-qui-celebre-le-dessin-anime,12888.htmlle-climat-et-la-meteo,046.html
17;http://www.au-senegal.com/?lang=frle-chemin-de-fer,345.htmlle-climat-et-la-meteo,046.html
18;http://www.au-senegal.com/?lang=frle-climat-et-la-meteo,046.html
19;http://www.au-senegal.com/?lang=frplan-du-site,9559.htmlle-climat-et-la-meteo,046.html
20;http://www.cm.undp.org/content/cameroon/fr/home/presscenter/articles/2016/07/12/choc-climatique-et-ins-curit-alimentaire.html
21;http://www.cm.undp.org/content/cameroon/fr/home/presscenter/pressreleases/2016/09/22/changements-climatiques-le-cameroun-respecte-ses-engagements.html
22;http://www.dakar-echo.com/pauvrete-chomage-au-senegal-la-banlieue-se-radicalise-des-femmes-pretes-a-aller-faire-le-jihad/
23;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.html
